Chinese,English,Vietnamese,Tactics in Chinese,Tactics in English,Chiến Pháp
华佗,Hua Tuo,Hoa Đà,刮骨疗毒,Antidote,Cắt Xương Trị Độc
陆逊,Lu Xun,Lục Tốn,熯天炽地,Apocalypse,Lửa Cháy Ngùn Ngụt
乐进,Yue Jin,Nhạc Tiến,锋矢阵,Arrow Formation,Phong Thi Trận
黄月英,Huang Yueying,Hoàng Nguyệt Anh,锋矢阵,Arrow Formation,Phong Thi Trận
华雄,Hua Xiong,Hoa Hùng,诱敌深入,Bait,Dụ Địch Thâm Nhập
司马徽,Sima Hui,Tư Mã Huy,诱敌深入,Bait,Dụ Địch Thâm Nhập
甄姬,Zhenji,Chân Cơ,魅惑,Beguile,Mê Hoặc
大乔,Da Qiao,Đại Kiều,魅惑,Beguile,Mê Hoặc
孙策,Sun Ce,Tôn Sách,破阵摧坚,Breach,Phá Trận Thôi Kiên
文丑,Wen Chou,Văn Xú,破阵摧坚,Breach,Phá Trận Thôi Kiên
甘宁,Gan Ning,Cam Ninh,百骑劫营,Cavalry Raid,Bách Kỵ Kiếp Doanh
高顺,Gao Shun,Cao Thuận,陷阵营,Camp Raid,Hãm Trận Doanh
董卓,Dong Zhuo,Đổng Trác,暴戾无仁,Cruel Tyranny,Bạo Lệ Vô Nhân
曹操,Cao Cao,Tào Tháo,梦中弑臣,Death in Slumber,Mộng Trung Thí Thần
诸葛亮,Zhuge Liang,Gia Cát Lượng,舌战群儒,Debate,Nhà Nho Đấu Khẩu
陈群,Chen Qun,Trần Quần,挫锐,Defang,Toả Nhuệ
孙坚,Sun Jian,Tôn Kiên,挫锐,Defang,Toả Nhuệ
夏侯惇,Xiahou Dun,Hạ Hầu Đôn,绝地反击,Desperate Reversal,Tuyệt Địa Phản Kích
吕玲绮,Lu Lingqi,Lữ Linh Ỷ,绝地反击,Desperate Reversal,Tuyệt Địa Phản Kích
张角,Zhang Jiao,Trương Giác,黄天泰平,Disarray Affliction,Hoàng Thiên Thái Bình
曹仁,Cao Ren,Tào Nhân,八门金锁阵,Eight Gold Locks Formation,Bát Môn Kim Toả Trận
张昭,Zhang Zhao,Trương Chiêu,兵锋,Elite Troops,Binh Phong
孟获,Meng Huo,Mạnh Hoạch,兵锋,Elite Troops,Binh Phong
貂蝉,Diao Chan,Điêu Thuyền,倾国倾城,Eternal Beauty,Nghiêng Nước Nghiêng Thành
周瑜,Zhou Yu,Chu Du,风助火势,Fan the Flames,Phong Trợ Hoả Thế
黄盖,Huang Gai,Hoàng Cái,风助火势,Fan the Flames,Phong Trợ Hoả Thế
田丰,Tian Feng,Điền Phong,兵无常势,Fickle War,Binh Vô Thường Thế
祝融夫人,Zhu Rong,Phu Nhân Chúc Dung,兵无常势,Fickle War,Binh Vô Thường Thế
曹植,Cao Zhi,Tào Thực,守而必固,Focus Defence,Thủ Nhĩ Tất Cố
程昱,Cheng Yu,Trình Dục,守而必固,Focus Defence,Thủ Nhĩ Tất Cố
张飞,Zhang Fei,Trương Phi,嗔目横矛,Furious Glare,Trấn Mục Hoành Mâu
孙权,Sun Quan,Tôn Quyền,卧薪尝胆,Grudge Bearer,Nằm Gai Nếm Mật
张郃,Zhang He,Trương Cáp,大戟士,Halberdier,Đại Kích Sĩ
颜良,Yan Liang,Nhan Lương,盛气凌敌,Intimidate,Thịnh Khí Linh Địch
曹丕,Cao Pi,Tào Phi,盛气凌敌,Intimidate,Thịnh Khí Linh Địch
于禁,Yu Jin,Vu Cấm,克敌制胜,Overcome,Khắc Địch Chế Thắng
程普,Cheng Pu,Trình Phổ,克敌制胜,Overcome,Khắc Địch Chế Thắng
于吉,Yu Ji,Vu Cát,杯蛇鬼车,Paranoia,Sợ Bóng Sợ Gió
左慈,Zuo Ci,Tả Từ,杯蛇鬼车,Paranoia,Sợ Bóng Sợ Gió
钟会,Zhong Hui,Chung Hội,文武双全,Pen and Sword,Văn Võ Song Toàn
邓艾,Deng Ai,Đặng Ngải,文武双全,Pen and Sword,Văn Võ Song Toàn
黄忠,Huang Zhong,Hoàng Trung,万箭齐发,Rain of Arrows,Vạn Tiễn Tề Phát
夏侯渊,Xiahou Yuan,Hạ Hầu Uyên,万箭齐发,Rain of Arrows,Vạn Tiễn Tề Phát
兀突骨,Wu Tugu,Ngột Đột Cốt,藤甲兵,Rattan Infantry,Lính Giáp Mây
典韦,Dian Wei,Điển Vi,折冲御侮,Resist the Foe,Đánh Bại Quân Địch
太史慈,Taishi Ci,Thái Sử Từ,折冲御侮,Resist the Foe,Đánh Bại Quân Địch
庞德,Pang De,Bàng Đức,暂避其锋,Sidestep,Tạm Lánh Sóng Gió
徐庶,Xu Shu,Từ Thứ,暂避其锋,Sidestep,Tạm Lánh Sóng Gió
郭嘉,Guo Jia,Quách Gia,沉沙决水,Sinking Sands,Trầm Sa Quyết Thuỷ
法正,Fa Zheng,Pháp Chính,沉沙决水,Sinking Sands,Trầm Sa Quyết Thuỷ
小乔,Xiao Qiao,Tiểu Kiều,夺魂挟魄,Soul Steal,Tranh Hồn Đoạt Mạng
蔡文姬,Cai Wenji,Thái Văn Cơ,夺魂挟魄,Soul Steal,Tranh Hồn Đoạt Mạng
荀彧,Xun Yu,Tuân Úc,四面楚歌,Surrounded on All Sides,Tứ Diện Sở Ca
李儒,Li Ru,Lý Nho,四面楚歌,Surrounded on All Sides,Tứ Diện Sở Ca
曹纯,Cao Chun,Tào Thuần,虎豹骑,Tiger Cavalry,Hổ Báo Kỵ
关羽,Guan Yu,Quan Vũ,横扫千军,Total Annihilation,Hoành Tảo Thiên Quân
赵云,Zhao Yun,Triệu Vân,横扫千军,Total Annihilation,Hoành Tảo Thiên Quân
徐晃,Xu Huang,Từ Hoảng,合军聚众,Unit Care,Hợp Tụ Quần Chúng
袁绍,Yuan Shao,Viên Thiệu,合军聚众,Unit Care,Hợp Tụ Quần Chúng
吕蒙,Lu Meng,Lữ Mông,士别三日,Unrecognizable Change,Sĩ Biệt Tam Nhật
马超,Ma Chao,Mã Siêu,所向披靡,Unstoppable,Đánh Đâu Thắng Đó
许褚,Xu Chu,Hứa Chử,所向披靡,Unstoppable,Đánh Đâu Thắng Đó
王平,Wang Ping,Vương Bình,无当飞军,Unstoppable Elites,Vô Đương Phi Quân
吕布,Lu Bu,Lữ Bố,一骑当千,Unstoppable Rider,Nhất Kỵ Đương Thiên
陈到,Chen Dao,Trần Đáo,白眊兵,White Guard,Bạch Nhị Binh
公孙瓒,Gongsun Zan,Công Tôn Toản,白马义从,White Horse Brigade,Bạch Mã Nghĩa Tòng
马腾,Ma Teng,Mã Đằng,西凉铁骑,Xiliang Cavalry,Tây Lương Thiết Kỵ
刘备,Liu Bei,Lưu Bị,义心昭烈,Zhaolie the Benevolent,Nghĩa Tâm Chiêu Liệt
孙尚香,Sun Shang Xiang,Tôn Thượng Hương,结盟,Blind Union,Liên Minh
张辽,Zhang Liao,Trương Liêu,勇者得前,Frontline Hero,Dũng Giả Hàng Đầu
张继,Zhangji,Trương Cơ,勇者得前,Frontline Hero,Dũng Giả Hàng Đầu
司马懿,Sima Yi,Tư Mã Ý,用武通神,Transcendence,Dụng Võ Thần Thông
庞统,Pang Tong,Bàng Thống,乘敌不虞,Troop Revive,Thừa Địch Bất Ngu
马云禄,Ma Yun Lu,Mã Vân Lộc,乘敌不虞,Troop Revive,Thừa Địch Bất Ngu
张弘,Zhang Hong,Trương Hoành,智计,Wit,Trí Kế
陈宫,Chen Gong,Trần Cung,智计,Wit,Trí Kế
木鹿大王,Mu Lu Da Wang,Mộc Lộc Đại Vương,象兵,Elephant Troops,Tượng Binh
贾诩,Jia Xu,Giả Hủ,伪书相间,False Documents,Nguỵ Thư Tương Gian
凌统,Ling Tong,Lăng Thống,横戈跃马,Ready the Horses,Hoành Qua Dược Mã
郝昭,Hao Zhao,Hác Chiêu,横戈跃马,Ready the Horses,Hoành Qua Dược Mã
蒋琬,Jiang Wan,Tưởng Uyển,奇计良谋,Uncanny Strategy,Kế Hay Mưu Giỏi
鲁肃,Lu Su,Lỗ Túc,奇计良谋,Uncanny Strategy,Kế Hay Mưu Giỏi
陆抗,Lu Kang,Lục Kháng,乘胜长驱,Continuous Pursuit,Thừa Thắng Trưởng Khu
高览,Gao Lan,Cao Lãm,乘胜长驱,Continuous Pursuit,Thừa Thắng Trưởng Khu
严颜,Yan Yan,Nghiêm Nhan,一力拒守,Lone Defender,Nhất Lực Cự Thủ
周泰,Zhou Tai,Chu Thái,一力拒守,Lone Defender,Nhất Lực Cự Thủ
张春华,Zhang Chun Hua,Trương Xuân Hoa,运筹决算,Master Strategist,Vận Trù Quyết Toán
袁术,Yuan Shu,Viên Thuật,形机军略,Sieze Opportunity,Hình Cơ Quân Lược
姜维,Jiang Wei,Khương Duy,形机军略,Sieze Opportunity,Hình Cơ Quân Lược
荀莜,Xun You,Tuân Du,运筹决算,Master Strategist,Vận Trù Quyết Toán
蔡邕,Cai Yong,Thái Ung,经术政要,Politics Expert,NULL
魏延,Wei Yan,Ngụy Diên,威谋糜亢,Undefeatable Might,Uy Mưu Vô Địch
沮授,Ju Shou,Thư Thụ,威谋糜亢,Undefeatable Might,Uy Mưu Vô Địch
SP 袁绍,SP Yuan Shao,SP Viên Thiệu,箕形阵,U-Shape Formation,Cơ Hình Trận
关银屏,Guan Yinping,Quan Ngân Bình,箕形阵,U-Shape Formation,Cơ Hình Trận
SP 周瑜,SP Zhou Yu,SP Chu Du,焰佐风飞,Soaring Blaze,Lửa Đuổi Gió Bay
SP 诸葛亮,SP Zhuge Liang,SP Gia Cát Lượng,焰佐风飞,Soaring Blaze,Lửa Đuổi Gió Bay
满宠,Man Chong,Mãn Sủng,破军威胜,Crusher of Armies,Phá Quân Uy Thắng
王双,Wang Shuang,Vương Song,破军威胜,Crusher of Armies,Phá Quân Uy Thắng
SP 朱儁,SP Zhu Jun,SP Chu Tuấn,速乘其利,Aggrandize,Mau Giành Lợi Thế
王元姬,Wang Yuan Ji,Vương Nguyên Cơ,速乘其利,Aggrandize,Mau Giành Lợi Thế
董白,Dong Bai,Đổng Bạch,益其金鼓,Curative Taunt,NULL
SP 吕蒙,SP Lu Meng,SP Lữ Mông,益其金鼓,Curative Taunt,NULL
许攸,Xu You,Hứa Du,定谋贵决,Decision-making,Kế Hoạch Quyết Đoán
关兴,Guan Xing,Quan Hưng,士争先赴,Rush to the Fore,Nhanh Chân Tranh Đất
张苞,Zhang Bau,Trương Bào,士争先赴,Rush to the Fore,Nhanh Chân Tranh Đất
SP 荀彧,SP Xun Yu,SP Tuân Úc,竭力佐谋,Exploit,NULL
张让,Zhang Rang,Trương Nhượng,竭力佐谋,Exploit,NULL
SP 郭嘉,SP Guo Jia,SP Quách Gia,先成其虑,Pre-Planning,NULL
朵思大王,King Duosi,Đoá Tư Đại Vương,临机制胜,Winning Strategy,NULL
邹氏,Zou,Trâu,先成其虑,Pre-Planning,NULL
伊籍,Yi Ji,Yi Ji,临机制胜,Winning Strategy,NULL
郭图,Guo Tu,Quách Đồ,进言,Advice,Tiến Ngôn
孔融,Kong Rong,Khổng Dung,谦让,Ally Guard,Khiêm Nhường
张梁,Zhang Liang,Trương Lương,一举歼灭,Annihilate,Nhất Cử Tiêm Diệt
张燕,Zhang Yan,Trương Yến,轻勇飞燕,Assail,Khinh Dũng Phi Yến
步练师,Bu Lianshi,Bộ Luyện Sư,出其不意,Backstab,Xuất Kỳ Bất Ý
郭淮,Guo Huai,Quách Hoài,御敌屏障,Barrier,Ngự Địch Bình Chướng
王朗,Wang Lang,Vương Lãng,唇枪舌战,Battle of Words,Thần Thương Thiệt Chiến
曹彰,Cao Zhang,Tào Chương,挫志怒袭,Break Morale,Toả Chí Nộ Tập
纪灵,Ji Ling,Kỷ Linh,强攻,Brute Force,Cường Công
简雍,Jian Yong,Giản Ung,强攻,Brute Force,Cường Công
朱恒,Zhu Huan,Chu Hoàn,千里驰援,Cavalry Support,Thiên Lý Trì Viện
丁奉,Ding Feng,Đinh Phụng,短兵相见,Close Combat,Đoản Binh Tương Kiến
吕范,Lu Fan,Lữ Phạm,百炼成钢,Combat Mastery,Dày Công Tôi Luyện
徐盛,Xu Sheng,Từ Thịnh,百炼成钢,Combat Mastery,Dày Công Tôi Luyện
文聘,Wen Pin,Văn Sính,手起刀落,Cut,Thủ Khởi Đao Lạc
张绣,Zhang Xiu,Trương Tú,暗潮涌动,Decapitation Strike,Ám Triều Dũng Động
皇甫嵩,Huangfu Song,Hoàng Phổ Tung,后发制人,Delayed Strike,Hậu Phát Chế Nhân
马铁,Ma Tie,Mã Thiết,驱散,Dispel,Xua Đuổi
董允,Dong Yun,Đổng Doãn,声东击西,Diversion,Dương Đông Kích Tây
朱儁,Zhu Jun,Chu Tuấn,声东击西,Diversion,Dương Đông Kích Tây
沙摩柯,Sha Moke,Sa Ma Kha,弯弓饮羽,Draw Bow,Loan Cung Ẩm Vũ
李典,Li Dian,Lý Điển,长者之风,Elder Wisdom,Trưởng Giả Chi Phong
杨修,Yang Xiu,Dương Tu,出口成章,Eloquence,Xuất Khẩu Thành Chương
张曼成,Zhang Mancheng,Trương Mạn Thành,神上使,Emissary of God,Thần Thượng Sứ
马谡,Ma Su,Mã Tắc,才器过人,Exceptional Mind,Tài Khí Quá Nhân
张任,Zhang Ren,Trương Nhiệm,落凤,Falling Phoenix,Lạc Phượng
陈琳,Chen Lin,Trần Lâm,落雷,Falling Thunder,Lạc Lôi
廖化,Liao Hua,Liêu Hoá,诈降,False Surrender,Trá Hàng
黄权,Huang Quan,Hoàng Quyền,机略纵横,Grand Design,Mưu Lược Tung Hoành
韩遂,Han Sui,Hoàn Toại,暗藏玄机,Hidden Secrets,Ám Tàng Huyền Cơ
张鲁,Zhang Lu,Trương Lỗ,养马有道,Horse Breeder,Dưỡng Mã Hữu Đạo
陈武,Chen Wu,Trần Vũ,庐江上甲,Lujiang Armor,Lư Giang Thượng Giáp
韩当,Han Dang,Hàn Đương,左右开弓,Marching Fire,Tả Hữu Khai Cung
曹洪,Cao Hong,Tào Hồng,骁勇善战,Master of Arms,Kiêu Dũng Thiện Chiến
审配,Shen Pei,Thẩm Phối,坐守孤城,Mutual Support,Toạ Thủ Cô Thành
关平,Guan Ping,Quan Bình,奋突,Puncture,Phấn Đột
李严,Li Yan,Lý Nghiêm,净化,Purify,Tịnh Hoá
費禕,Fei Yi,Phi Y,偃旗息鼓,Quiet Down,Yến Kỳ Tức Cổ
刘表,Liu Biao,Lưu Biểu,偃旗息鼓,Quiet Down,Yến Kỳ Tức Cổ
李傕,Li Jue,Lý Thôi,纵兵劫掠,Raid and Pillage,Thả Lính Cướp Đoạt
蒋钦,Jiang Qin,Tưởng Khâm,天降火雨,Rain of Fire,Thiên Giáng Hoả Vũ
管亥,Guan Hai,Quản Hợi,鲁莽,Reckless,Lỗ Mãng
董袭,Dong Xi,Đổng Tập,自愈,Regeneration,Tự Lành
顾雍,Gu Yong,Cố Ung,枯木逢春,Rejuvenation,Khô Mộc Phùng Xuân
卢植,Lu Zhi,Lô Trực,五谷丰登,Rich Harvest,Ngũ Cốc Phong Đăng
诸葛瑾,Zhuge Jin,Gia Cát Cẩn,养兵千日,Rigorous Training,Dưỡng Bình Thiên Nhật
张宝,Zhang Bao,Trương Bảo,妖术,Sand Shield,Yêu Thuật
逢纪,Feng Ji,Phùng Kỷ,风声鹤唳,Sandstorm Ravage,Phong Thanh Hạc Lệ
钟繇,Zhong Yao,Chung Do,风声鹤唳,Sandstorm Ravage,Phong Thanh Hạc Lệ
糜竺,Mi Zhu,My Trúc,见机行事,Sieze the Chance,Tuỳ Cơ Ứng Biến
曹真,Cao Zhen,Tào Chân,屠几上肉,Slaughter,Đồ Kỷ Thượng Nhục
胡车儿,Hu Che'er,Hồ Xa Nhi,骁健神行,Superb Physique,Kiêu Kiện Thần Hành
潘璋,Pan Zhang,Phan Chương,不辱使命,True to Duty,Bất Nhục Sứ Mệnh
郭汜,Guo Si,Quách Dĩ,暴敛四方,Tyranny,Bạo Liễm Tứ Phương
刘晔,Liu Ye,Lưu Diệp,料事如神,Uncanny Foresight,Liệu Sự Như Thần
周仓,Zhou Cang,Chu Thương,矢志不移,Unwavering Will,Thi Chí Bất Di
臧霸,Zang Ba,Tang Bá,避实击虚,Weakest Link,Tị Thực Kích Hư
马良,Ma Liang,Mã Lương,白眉,White Brow,Bạch Mi
刘封,Liu Feng,Lưu Phong,骑虎难下,Withering,Kỵ Hổ Nan Dạ
丁原,Ding Yuan,Đinh Nguyên,猛击,Bash,Mãnh Kích
卞喜,Bian Xi,Biện Hỷ,压制,Conquer,Áp Chế
全琮,Quan Cong,Toàn Tông,奋发,Excite,Hăng Hái
