name,clan,team1,team2,team3,team4,team5,name2
anhchu,FRIENDS,Thương - Lượng Hưng Bào - Bắc Phạt (0*),,,,,anhchu
ballackkaka,FRIENDS,Cung - Duy Lượng Chính (0*),,,,,ballack kaka
Bim,FRIENDS,Khiên - Bị Phi Vũ - Vườn Đào (Phi 2*),,,,,Bim
Bkphu,FRIENDS,"Cung - Tốn Hoa Từ (Hoa 1*, Từ 1*)",,,,,Bkphu
CúnChề,FRIENDS,Kỵ - Vũ Tst Tả Từ (Tst 2*),,,,,Cún Chề
ChânHoả,FRIENDS,Cung - Duy Vân Lượng - Thiên Thuỷ (0*),"Thương - Úc Liêu Cơ (Úc Sp 1*, Liêu 2*)",,,,Chân Hoả
DaThienThieuChu,FRIENDS,Cung - Ninh Từ Thái - Hổ Thần (Ninh 2*),,,,,Da Thien Thieu Chu
DiễmKiều,FRIENDS,"Cung - Thuyền Giác Thụ (Thuyền 2*, Giác 2* hình động, Thụ 1*)",,,,,Diễm Kiều
ĐạiBáVương,FRIENDS,Cung - Duy Thống Lượng - Kỳ Lân (Lượng 1*),,,,,Đại Bá Vương
ĐạiKaB,FRIENDS,"Khiên - Bị Phi Vũ - Vườn Đào (Phi 5*, Vũ 2*)",,,,,Đại Ka B
ĐộcNhãnLong,FRIENDS,"Kỵ - Bị Vân Duy (Vân 1*, Duy 1*)",,,,,Độc Nhãn Long
FrxGàRừng,FRIENDS,Thương - Duy Bình Lượng (Bình 2*),,,,,Frx Gà Rừng
FRxGấu,FRIENDS,Thương - Vũ Bình Diên (Vũ 1*),,,,,FRx Gấu
FRxKalzen,FRIENDS,"Kỵ - Uyên Tháo Gia (Uyên Golden 4*, Gia 1*)",,,,,FRxKalzen
FrxKEN,FRIENDS,"Cung - Duy Thống Lượng - Kỳ Lân (Duy 1*, Thống 3*)",,,,,Frx KEN
FRxLÊCƯƠNG,FRIENDS,"Khiên - Bị Phi Vũ - Vườn Đào (Bị 0*, Phi 5* Golden, Vũ 0*)",,,,,FRx LÊ CƯƠNG
FrxNQMC,FRIENDS,"Khiên - Bị Phi Vũ - Vườn Đào (Phi 2*, Vũ 2*)",,,,,FrxNQMC
FRxSuha,FRIENDS,"Khiên - Bị Phi Vũ - Vườn Đào (Bị 1*, Phi 4* Golden, Vũ 3*)",Cung - Duy Thống Lượng - Kỳ Lân (0*),"Khiên - Giác Cát Từ - Tam Tiên (Cát 1*, Từ 1*)",,,FRx Suha
GĐxVCTuấn,FRIENDS,Khiên - Bị Phi Vũ - Vườn Đào (Phi 1*),,,,,GĐxVC Tuấn
HoàngHạo,FRIENDS,"Cung - Ninh Từ Thái - Hổ Thần (Ninh 2*, TST 1*, Thái 2*)",,,,,Hoàng Hạo
HuỳnhUyDũng,FRIENDS,Kỵ - Duy Bình Hoa (Bình 2*),,,,,Huỳnh Uy Dũng
KiếnBaKhoang,FRIENDS,"Thương - Phổ Vũ Úc (Phổ 4*, Vũ Úc Sp 0*)",,,,,Kiến Ba Khoang
KimLong,FRIENDS,"Kỵ - Tuân Úc Đôn Dục (Úc SP 0*, Đôn 2*, Dục 3*)",,,,,Kim Long
KhóHiểu,FRIENDS,Cung - Duy Vân Lượng - Thiên Thuỷ (Vân 1*),,,,,Khó Hiểu
LỗTríPhong,FRIENDS,"Kỵ - Uyên Từ Anh (Uyên 2*, TST 1*)",,,,,Lỗ Trí Phong
lubuzz,FRIENDS,Thương - Duy Bình Lượng (Lượng 1*),,,,,lubuzz
Mamaa,FRIENDS,"Cung - Tốn Mông Phổ ( Tốn 1*, Mông 5*, Phổ 4*)",,,,,Mamaa
mino,FRIENDS,"Thương - Vân Phi Bị (Vân 4*, Phi 2*)",,,,,mino
MinhAnhII,FRIENDS,Cung - Duy Thống Lượng - Kỳ Lân (0*),,,,,Minh Anh II
NamĐen,FRIENDS,"Kỵ - Uyên Tháo Gia (Uyên 4*, Gia 2*)","Khiên - Bị Phi Vũ - Vườn Đào (Phi 4*, Vũ 2*)",,,,Nam Đen
NgườiSùngBái,FRIENDS,Cung - Du Tốn Túc - Đô Đốc (0*),,,,,Người Sùng Bái
OnepieLuffy,FRIENDS,Khiên - Ý Tháo Sủng (0*),,,,,Onepie Luffy
Percival,FRIENDS,"Khiên - Bị Phi Vũ - Vườn Đào (Phi 1*, Vũ Golden)",,,,,Percival
PKxxJinbe,FRIENDS,"Kỵ - Uyên Tháo Gia (Uyên 4*, Gia 2*)",,,,,PKxxJinbe
Powder,FRIENDS,Cung - Duy Thống Lượng - Kỳ Lân (Duy 1*),,,,,Powder
PhucNguyen,FRIENDS,Thương - Duy Vân Lượng - Thiên Thuỷ (0*),,,,,Phuc Nguyen
QuangHiếu,FRIENDS,"Khiên - Giác Cát Từ - Tam Tiên (Giác 3* hình động, Từ 1*  hình động)",,,,,Quang Hiếu
SiwaSa,FRIENDS,"Kỵ - Uyên Từ Anh (Uyên 3*, TST 1*)",,,,,SiwaSa
TAOTHAO,FRIENDS,Khiên - Duy Bị Diên (Diên 1*),Kỵ - Hủ Vân Từ (0*),,,,TAOTHAO
TLHzBốiNB,FRIENDS,Cung - Duy Thống Lượng - Kỳ Lân (0*),,,,,TLHz Bối NB
ToanTong,FRIENDS,Khiên - Bị Phi Vũ - Vườn Đào (Phi 1*),,,,,Toan Tong
TuanLe,FRIENDS,Kỵ - Uyên TST HNA (TST 3*),,,,,Tuan Le
TùngBò,FRIENDS,Khiên - Bị Phi Vũ - Vườn Đào (Phi 4*),Thương - Lượng Hưng Bào - Bắc Phạt (0*),,,,Tùng Bò
TứngBò,FRIENDS,Khiên - Bị Phi Vũ - Vườn Đào (Phi 4*),Thương - Lượng Hưng Bào - Bắc Phạt (Hưng 1*),,,,Tứng Bò
TháiHân,FRIENDS,Thương - Lượng Tiến Bình (0*),,,,,Thái Hân
ThầnBáo,FRIENDS,Cung - Thiệu Tuấn Thụ (1*),,,,,Thần Báo
Theheeooi,FRIENDS,Cung - Tốn Lượng Từ (0*),,,,,Theheeooi
ThichTuongCam,FRIENDS,Khiên - Thiệu Diên Thụ (0*),,,,,Thich Tuong Cam
ThíchTừThiện,FRIENDS,"Kỵ - Uyên Gia Cơ (Uyên 5*, Gia 3*, Vương Nguyên Cơ 1*)",,,,,Thích Từ Thiện
TrueDraco,FRIENDS,Cung - Duy Thống Lượng - Kỳ Lân (Thống 1*),,,,,True Draco
