English,Vietnamese,Tactics in English,Chiến Pháp,mangtheo,mangtheo2,Mùa (Global)
"Zhang Jiao, Zhang Bao, Zhang Liang","Trương Giác, Trương Bảo, Trương Lương",Way of Tao,Thái Bình Đạo Pháp,"[Bị động] Nhận 14%→28% Kỳ Mưu và tăng xác suất phát động Chiến Pháp chủ động bản thân mang theo (3%→6%, nếu là Chiến Pháp chuẩn bị thì sẽ tăng 6%→12%, bị Trí Lực ảnh hưởng), khi bản thân là Chủ Tướng Quân Khăn Vàng sẽ khiến Phó Tướng Quân Khăn Vàng cũng được tăng xác suất phát động Chiến Pháp bản thân mang theo",Thái Bình Đạo Pháp,2
"Huangfu Song, Zhu Jun, Lu Zhi, He Jin","Hoàng Phổ Tung, Chu Tuấn, Lô Trực, Hà Tiến",Force Preparation,Chờ Đợi Xuất Phát,"[Chỉ huy] Trong chiến đấu, vào hiệp chẵn, sẽ hồi phục Binh Lực cho Tập thể quân ta (2 người) (tỷ lệ Trị Liệu 44%→88%, bị Trí Lực ảnh hưởng)",Chờ Đợi Xuất Phát,3
Gan Ning,Cam Ninh,Bright Sail Army,Quân Cẩm Phàm,"[Binh chủng - Cung] Tiến bậc Lính Cung thành Quân Cẩm Phàm khí cái thiên phu: Khi đội quân tấn công thường, có 40% xác suất khiến mục tiêu rơi vào trạng thái Bỏ chạy (tỷ lệ sát thương 32%→64%, bị Võ Lực ảnh hưởng), duy trì 2 hiệp; nếu mục tiêu đã Bỏ chạy thì sẽ gây ra tấn công binh đao (tỷ lệ sát thương 55%→110%) và hồi phục Binh Lực tương đương 30% lượng sát thương; nếu Cam Ninh thống lĩnh, tăng 3%→6% Hội Tâm cho quân Đồng Minh",Quân Cẩm Phàm,3
Other 5-star x3,Quần Cam/ Quần 5 sao x3,Danyang Troop,Lính Đan Dương,"[Binh chủng - Khiên] Khi Lính Khiên tiến cấp thành Lính Đan Dương dũng mãnh vô uy: Trước khi bắt đầu mỗi hiệp, căn cứ vào sát thương binh đao toàn thể quân ta tạo ra ở hiệp trước có tỷ lệ nhất định nhận Lính Đan Dương, có thể cộng dồn (Khi quân ta chịu sát thương mưu lược, sẽ tiêu hao Lính Đan Dương để chống đỡ 18%→36% sát thương mưu lược, số lượng Lính Đan Dương mỗi hiệp giảm 10%); Nếu Đào Khiêm thống lĩnh, thì tỷ lệ chống đỡ sẽ tăng 20%→40%",Lính Đan Dương,N/A
Others Purple General x10,Quần tím x10,Manipulate,Ỷ Thế Cầm Quyền,"[Chủ động - 35%] Gây cho cá thể quân địch ngẫu nhiên tấn công Mưu Lược (tỷ lệ sát thương 93%→186%, bị Trí Lực ảnh hưởng), và Hỗn Loạn (tấn công và Chiến Pháp sẽ không phân biệt khi lựa chọn mục tiêu) 1 hiệp",Ỷ Thế Cầm Quyền,2
Wei Purple General x10,Nguỵ tím x10,Strategic Might,Truyền Hịch Tuyên Uy,"[Chủ động - 35%] Gây cho cá thể quân địch ngẫu nhiên tấn công Mưu Lược (tỷ lệ sát thương 82.5%→165%, bị Trí Lực ảnh hưởng), và Giao Binh Khí ( không thể tiến hành tấn công thường) 2 hiệp",Truyền Hịch Tuyên Uy,2
"Any 4 of Yuan Shao, Sun Jian, Ma Teng, Gongsun Zan, Cao Cao, Liu Bei","4 trong số: Viên Thiệu, Tôn Kiên, Mã Đằng, Công Tôn Toản, Tào Tháo, Lưu Bị",Three Force Array,Tam Thế Trận,"[Pháp trận] Khi phe của 3 Võ Tướng quân ta đều khác nhau, và Chiến Pháp mang theo của Tướng Chính phe ta là Chiến Pháp Chủ Động hoặc Chiến Pháp Đột Kích, thì ở 5 hiệp đầu, Tướng Chính tăng 8%→16% xác suất dùng Chiến Pháp Chủ Động/ Đột Kích mang theo; Trước mỗi hiệp hành động, giúp sát thương phải chịu của Phó Tướng có tổn thất binh lực khá nhiều giảm 15%→30%, sát thương gây ra bởi Phó Tướng còn lại tăng 12.5%→25%, duy trì 1 hiệp",Tam Thế Trận,3
"Hua Xiong, Pan Feng","Hoa Hùng, Phan Phụng",Unrivalled Might,Khí Lăng Tam Quân,"[Bị động] Khi bị tấn công thường sẽ tiến hành 1 lần phản kích người tấn công (tỷ lệ sát thương 26%→52%), khi bản thân là Phó Tướng, tỷ lệ sát thương tăng lên 37%→74%",Khí Lăng Tam Quân,2
"Lu Bu, Yuan Shao","Lữ Bố, Viên Thiệu",Inhuman Might,Quỷ Thần Đinh Uy,"[Đột kích - 35%] Sau khi tấn công thường, lại phát động 1 lần tấn công Binh Đạo vào mục tiêu tấn công (tỷ lệ sát thương 102%→204%), khi bản thân là Chủ Tướng và Binh Lực mục tiêu thấp hơn 50%, sẽ tăng thêm sát thương (bị Binh Lực tổn thất của mục tiêu ảnh hưởng, tối đa tăng 25%→50%)",Quỷ Thần Đinh Uy,2
"Dong Zhuo, Li Ru, Li Jue, Guo Si","Đổng Trác, Lý Nho, Lý Thôi, Quách Dĩ",Burning Fields,Lửa Lan Khắp Chốn,"[Chủ động - 40%] Phóng cho tập thể quân địch (2-3 người) trạng thái Đốt Cháy, mỗi hiệp gây ra sát thương liên tục (tỷ lệ sát thương 28%→56%, bị Trí Lực ảnh hưởng), duy trì 2 hiệp; nếu mục tiêu đã có trạng thái Đốt Cháy sẽ gây ra tấn công Binh Đao (tỷ lệ sát thương 59%→118%)",Lửa Lan Khắp Chốn,2
